checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. abrotanoides (Roth) Cabrera	Schkuhria pinnata var. abrotanoides (Roth) Cabrera	4247879	Plantae	SYNONYM	Schkuhria pinnata (Lam.) Kuntze	8346536	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helipterum strictum (Lindl.) Benth.	Helipterum strictum (Lindl.) Benth.	3137688	Plantae	SYNONYM	Rhodanthe stricta (Lindl.) Paul G.Wilson	3137686	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carthamus lanatus L.	Carthamus lanatus L.	3138230	Plantae	SYNONYM	Carthamus lanatus subsp. lanatus	7223448			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Photinia beauverdiana C.K. Schneider var. notabilis (C.K. Schneider) Rehd. & Wilson	Photinia beauverdiana var. notabilis (C.K.Schneider) Rehd. & E.H.Wilson	5363895	Plantae	SYNONYM	Photinia beauverdiana C.K.Schneid.	5363891	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dasiphora davurica (Nestler) Komarov var. mandshurica (Maxim.) Verloove & Lambinon	Dasiphora davurica var. mandshurica (Maxim.) Verloove & Lambinon	8381801	Plantae	SYNONYM	Dasiphora fruticosa Rydb.	5370380			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Prunus virginiana L.	Prunus virginiana L.	3022668	Plantae	SYNONYM	Prunus serotina Ehrh.	3021850	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Prunus cerasus L.	Prunus cerasus L.	3021922	Plantae	SYNONYM	Prunus avium (L.) L.	3020791	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pyracantha crenatoserrata (Hance) Rehder	Pyracantha crenatoserrata (Hance) Rehd.	2988170	Plantae	SYNONYM	Pyracantha fortuneana (Maxim.) H.L.Li	2988224			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aronia prunifolia (Marshall). Rehd.	Aronia prunifolia (Marsh.) Rehd.	5363613	Plantae	SYNONYM	Photinia floribunda (Lindl.) K.R.Robertson & J.B.Phipps	5364001			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea x brachybotrys Lange	Spiraea brachybotrys Lange	3026426	Plantae	SYNONYM	Spiraea canescens D.Don	3027138			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malus sylvestris (L.) Mill. subsp. mitis (Wallr.) Mansf.	Malus sylvestris subsp. mitis (Wallr.) Mansf.	3001381	Plantae	SYNONYM	Malus pumila Mill.	3001093	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea x vanhouttei (Briot) Carr.	Spiraea vanhouttei (Briot) Carrière	8236373	Plantae	SYNONYM	Spiraea vanhouttei (Briot) Zabel	3026622	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea chamaedryfolia L. subsp. ulmifolia (Scop.) J. Duvigneaud	Spiraea chamaedrifolia subsp. ulmifolia (Scop.) J.Duvigneaud	8324534	Plantae	SYNONYM	Spiraea chamaedryfolia L.	3026406	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Linaria supina (L.) Chazelles	Linaria supina (L.) Chaz.	5415009	Plantae	SYNONYM	Linaria supina subsp. supina	6070567	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Notodanthonia gracilis (Hook. f.) Zotov	Notodanthonia gracilis (Hook.f.) Zotov	4146338	Plantae	SYNONYM	Rytidosperma gracile (Hook.f.) Connor & Edgar	4136338			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Setaria adhaerens (Forssk.) Chiov.	Setaria adhaerens (Forssk.) Chiov.	5289670	Plantae	SYNONYM	Setaria verticillata (L.) P.Beauv.	5289686	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Setaria verticillata (L.) Beauv. var. ambigua (Guss.) Parl.	Setaria verticillata var. ambigua (Guss.) Parl.	7908347	Plantae	SYNONYM	Setaria verticillata (L.) P.Beauv.	5289686			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	4153082	Plantae	SYNONYM	Panicum hillmanii Chase	2705098			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum durum Desf.	Triticum durum Desf.	2706389	Plantae	SYNONYM	Triticum turgidum subsp. durum (Desf.) Husn.	6313051			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena hispanica Ard.	Avena hispanica Ard.	8027936	Plantae	SYNONYM	Avena strigosa Schreb.	2705295			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis advena (Stapf) S.M. Phillips	Eragrostis advena (Stapf) S.M.Phillips	4150785	Plantae	SYNONYM	Sporobolus advenus (Stapf) P.M.Peterson	9267300			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Setaria pumila (Poiret) Roem. & Schult.	Setaria pumila (Poir.) Roem. & Schult.	5289693	Plantae	SYNONYM	Setaria helvola Roem. & Schult.	5673972			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis aculeata (L.) Ait.	Crypsis aculeata (L.) Aiton	5290184	Plantae	SYNONYM	Sporobolus aculeatus (L.) P.M.Peterson	9379326	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare L. subsp. barbipulvinatum (Nash) Tzvelev	Panicum capillare subsp. barbipulvinatum (Nash ex Rydb.) Tzvelev	6313647	Plantae	SYNONYM	Panicum capillare L.	2705162	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris arundinacea L. var. picta L.	Phalaris arundinacea var. picta L.	5289757	Plantae	SYNONYM	Phalaris arundinacea L.	5289756			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eleusine indica (L.) Gaertn. subsp. indica	Eleusine indica subsp. indica	6431270	Plantae	SYNONYM	Eleusine indica (L.) Gaertn.	2705953			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum flaccidum Griseb.	Pennisetum flaccidum Griseb.	2706137	Plantae	SYNONYM	Cenchrus flaccidus (Griseb.) Morrone	5828216			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa muricata (Beauv.) Fernald var. wiegandii (Fassett) Mohlenbr.	Echinochloa muricata var. wiegandii (Fassett) Mohlenbr.	4118560	Plantae	SYNONYM	Echinochloa muricata (P.Beauv.) Fernald	2702816	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hystrix patula Moench	Hystrix patula Moench	4146782	Plantae	SYNONYM	Elymus hystrix L.	8112114			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria sanguinalis (L.) Scop. subsp. pectiniformis Henr.	Digitaria sanguinalis subsp. pectiniformis Henrard	5675253	Plantae	SYNONYM	Digitaria sanguinalis (L.) Scop.	5289972			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
